fips,name,pop_total,labor_force_total,emp_to_total_ratio_total,unemp_rate_total,pop_male,labor_force_male,emp_to_total_ratio_male,unemp_rate_male,pop_female,labor_force_female,emp_to_total_ratio_female,unemp_rate_female,acs_year,acs_dataset
22097,"St. Landry Parish, Louisiana",44602,66.0,62.0,5.6,21625,70.8,65.9,6.0,22977,61.5,58.3,5.1,2023,acs5_subject
22099,"St. Martin Parish, Louisiana",29620,72.6,68.7,4.8,14599,77.5,71.0,7.3,15021,67.7,66.4,2.0,2023,acs5_subject
22101,"St. Mary Parish, Louisiana",26710,67.9,63.6,5.9,13459,72.9,68.2,5.9,13251,62.8,59.0,6.0,2023,acs5_subject
22103,"St. Tammany Parish, Louisiana",150856,78.6,74.0,4.6,73811,84.1,78.2,5.0,77045,73.3,70.0,4.2,2023,acs5_subject
22105,"Tangipahoa Parish, Louisiana",77444,71.3,67.4,5.1,37733,76.6,71.4,6.0,39711,66.3,63.6,4.1,2023,acs5_subject
22107,"Tensas Parish, Louisiana",1909,56.5,47.9,15.1,977,60.4,50.4,16.6,932,52.4,45.4,13.3,2023,acs5_subject
22109,"Terrebonne Parish, Louisiana",61596,72.6,68.9,4.6,30704,78.6,75.1,3.7,30892,66.6,62.7,5.7,2023,acs5_subject
22111,"Union Parish, Louisiana",11089,63.8,61.0,4.4,5455,68.7,65.6,4.5,5634,59.0,56.4,4.3,2023,acs5_subject
22113,"Vermilion Parish, Louisiana",32192,70.9,66.8,4.9,15605,79.3,75.5,3.2,16587,63.0,58.7,6.9,2023,acs5_subject
22115,"Vernon Parish, Louisiana",27975,72.2,51.7,5.5,14990,81.9,50.4,4.2,12985,60.9,53.2,6.9,2023,acs5_subject
22117,"Washington Parish, Louisiana",25249,64.0,57.1,10.4,12691,62.0,53.2,13.5,12558,66.1,61.0,7.4,2023,acs5_subject
22119,"Webster Parish, Louisiana",19816,60.8,57.7,4.7,9577,65.4,62.6,3.8,10239,56.5,53.1,5.8,2023,acs5_subject
22121,"West Baton Rouge Parish, Louisiana",16715,76.4,71.2,6.7,8468,77.8,75.9,2.2,8247,74.9,66.3,11.5,2023,acs5_subject
22123,"West Carroll Parish, Louisiana",5275,65.7,63.7,3.0,2629,70.5,67.6,4.2,2646,60.9,59.9,1.6,2023,acs5_subject
22125,"West Feliciana Parish, Louisiana",10122,53.5,49.9,6.5,7319,47.0,43.2,7.7,2803,70.6,67.5,4.4,2023,acs5_subject
22127,"Winn Parish, Louisiana",7904,56.4,53.7,4.8,4708,54.0,51.6,4.4,3196,59.9,56.8,5.3,2023,acs5_subject
